,igdb_game_string,igdb_series
601,the-powerpuff-girls-relish-rampage,yes
602,attack-on-titan-the-last-wings-of-mankind,no
603,ghostbusters,yes
604,dynasty-warriors-strikeforce,yes
605,lego-batman-3-beyond-gotham,yes
606,crash-of-the-titans,yes
607,apocalypse,no
608,rampage-world-tour,yes
609,pirates-of-the-caribbean-at-worlds-end,no
610,maze-craze-a-game-of-cops-n-robbers,no
611,mobile-suit-gundam,yes
612,bee-movie-game,yes
613,samurai-warriors-xtreme-legends,yes
614,harry-potter-and-the-deathly-hallows-part-1,yes
615,jawbreaker,no
616,dmc-devil-may-cry,yes
617,silent-hill-homecoming,yes
618,transformers-dark-of-the-moon-autobotsdecepticons,no
619,teenage-mutant-ninja-turtles-2-battle-nexus,yes
620,ninja-gaiden-3,yes
621,van-helsing,yes
622,transformers-fall-of-cybertron,yes
623,transformers-revenge-of-the-fallen-autobots,no
624,deadpool,yes
625,spawn-armageddon,no
626,lego-batman-3-beyond-gotham,yes
627,the-godfather-us-sales,no
628,sleeping-dogs-definitive-edition,yes
629,50-cent-bulletproof,yes
630,lego-star-wars-ii-the-original-trilogy,yes
631,viking-battle-for-asgard,no
632,metal-gear-solid-hd-collection,yes
633,g-force,no
634,ben-10-alien-force-vilgax-attacks,yes
635,army-men-world-war-final-front,yes
636,samurai-warriors-3,yes
637,spider-man-shattered-dimensions,yes
638,scooby-doo-mystery-mayhem,yes
639,robert-ludlums-the-bourne-conspiracy,no
640,battlebots-design-amp-destroy,no
641,star-wars-the-clone-wars-republic-heroes,yes
642,power-rangers-spd,no
643,naughty-bear,yes
644,mobile-suit-gundam-one-year-war,no
645,primal,no
646,nicktoons-unite,yes
647,barnstorming,no
648,barbie-groom-and-glam-pups,yes
649,ghostbusters-the-video-game,yes
650,hunter-the-reckoning-wayward,yes
651,asuras-wrath,no
652,def-jam-icon,yes
653,bakugan-battle-brawlers,no
654,lego-marvels-avengers,yes
655,ben-10-alien-force-vilgax-attacks,yes
656,naruto-ninja-council-3,yes
657,hello-neighbor,no
658,pirates-of-the-caribbean-at-worlds-end,no
659,saints-row-iv-re-elected,yes
660,ben-10-alien-force-vilgax-attacks,yes
661,super-wagyan-land,no
662,rascal,no
663,tron-evolution,yes
664,avatar-the-last-airbender-the-burning-earth,yes
665,superman-shadow-of-apokolips,yes
666,star-wars-trilogy-apprentice-of-the-force,yes
667,spongebobs-truth-or-square-us-sales,no
668,how-to-train-your-dragon,yes
669,the-adventures-of-jimmy-neutron-boy-genius-jet-fusion,yes
670,nfl-blitz-2001,no
671,dishonored-definitive-edition,yes
672,castlevania-curse-of-darkness,yes
673,double-pack-finding-nemo-the-incredibles,no
674,pirates-of-the-caribbean-at-worlds-end,no
675,the-suffering,yes
676,tomb-raider-the-last-revelation,yes
677,crash-of-the-titans,yes
678,tom-clancys-hawx-2,no
679,star-wars-the-clone-wars-republic-heroes,yes
680,grudge-warriors,no
681,300-march-to-glory,no
682,mobile-suit-gundam,yes
683,x-men-the-official-game,yes
684,superman-the-new-superman-adventures,no
685,the-terminator-dawn-of-fate,yes
686,transformers-revenge-of-the-fallen,yes
687,mass-effect-trilogy,no
